,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-07-20,PR9,15.7,16.2,15.7,16.1,16.1,2421100,9.95,16.2,31.03782,1.0,0.40000000000000213,0.025477707006369563
2022-07-20,SAPPE,36.75,37.75,36.25,37.75,37.75,797900,24.1,37.75,30.16208,0.66667,1.5,0.041379310344827586
2022-07-20,BH,181.0,181.5,178.0,180.0,180.0,1928400,117.5,188.5,15.97952,0.33333,-0.5,-0.002770083102493075
